name,sex,born,height,weight,team,noc,games,year,season,city,sport,event,medal,athlete_id
Mohammad Khan,M,1 May 1911,,,Afghanistan,AFG,1936 Summer Olympics,1936,Summer,Berlin,Athletics,"100 metres, Men",,64259
Mohammad Khan,M,1 May 1911,,,Afghanistan,AFG,1936 Summer Olympics,1936,Summer,Berlin,Athletics,"Long Jump, Men",,64259
Mohammad Khan,M,1 May 1911,,,Afghanistan,AFG,1936 Summer Olympics,1936,Summer,Berlin,Hockey,"Hockey, Men",,64259
Abdul Rahim,M,11 February 1913,,,Afghanistan,AFG,1936 Summer Olympics,1936,Summer,Berlin,Athletics,"Shot Put, Men",,64260
Abdul Hadi Shekaib,M,27 April 1940 in Kabul (AFG),178,68,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"100 metres, Men",,64261
Abdul Hadi Shekaib,M,27 April 1940 in Kabul (AFG),178,68,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"4 × 100 metres Relay, Men",,64261
Ali Zaid,M,2 June 1940 in Kabul (AFG),168,58,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"200 metres, Men",,64265
Ali Zaid,M,2 June 1940 in Kabul (AFG),168,58,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"4 × 100 metres Relay, Men",,64265
Ali Zaid,M,2 June 1940 in Kabul (AFG),168,58,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"Long Jump, Men",,64265
Habib Sayed,M,18 December 1936 in Kabul (AFG),170,58,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"400 metres, Men",,64262
Habib Sayed,M,18 December 1936 in Kabul (AFG),170,58,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"400 metres Hurdles, Men",,64262
Habib Sayed,M,18 December 1936 in Kabul (AFG),170,58,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"4 × 100 metres Relay, Men",,64262
Abdul Ghafar Ghafoori,M,15 September 1937 in Kabul (AFG),172,70,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"800 metres, Men",,64257
Abdul Ghafar Ghafoori,M,15 September 1937 in Kabul (AFG),172,70,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"1,500 metres, Men",,64257
Abdul Ghafar Ghafoori,M,15 September 1937 in Kabul (AFG),172,70,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"4 × 100 metres Relay, Men",,64257
Abdul Wardak,M,15 August 1940 in Kabul (AFG),179,75,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"110 metres Hurdles, Men",,64263
Abdul Wardak,M,15 August 1940 in Kabul (AFG),179,75,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"Javelin Throw, Men",,64263
Faiz Mohammad Khakshar,M,6 August 1942 in Kabul (AFG),162,52,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Wrestling,"Flyweight, Freestyle, Men",,57073
Faiz Mohammad Khakshar,M,6 August 1942 in Kabul (AFG),162,52,Afghanistan,AFG,1964 Summer Olympics,1964,Summer,Tokyo,Wrestling,"Flyweight, Freestyle, Men",,57073
Mohammad Ibrahim Kederi,M,10 August 1940 in Kabul (AFG),166,62,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Wrestling,"Featherweight, Freestyle, Men",,57072
Amir Jan Khalunder,M,20 November 1924 in Kabul (AFG),166,66,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Wrestling,"Lightweight, Freestyle, Men",,57074
Sultan Mohammad Dost,M,10 May 1932 in Kabul (AFG),168,73,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Wrestling,"Welterweight, Freestyle, Men",,57068
Mohammad Asif Khokan,M,10 June 1936 in Kabul (AFG),171,78,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Wrestling,"Middleweight, Freestyle, Men",,57076
Ghulam Mohiddin Gunga,M,20 June 1934 in Kabul (AFG),168,81,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Wrestling,"Light-Heavyweight, Freestyle, Men",,57069
Nizam-ud-din Subhani,M,10 November 1925 in Kabul (AFG),168,111,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Wrestling,"Heavyweight, Freestyle, Men",,57087
Nour Ullah Noor,M,8 June 1944,,,Afghanistan,AFG,1964 Summer Olympics,1964,Summer,Tokyo,Wrestling,"Bantamweight, Greco-Roman, Men",,57079
Nour Aka Sayed,M,6 October 1944,,,Afghanistan,AFG,1964 Summer Olympics,1964,Summer,Tokyo,Wrestling,"Featherweight, Greco-Roman, Men",,57082
Wahid Ullah Zaid,M,1 September 1944,,,Afghanistan,AFG,1964 Summer Olympics,1964,Summer,Tokyo,Wrestling,"Lightweight, Greco-Roman, Men",,57090
Mohammad Daoud Anwary,M,8 March 1942,,,Afghanistan,AFG,1964 Summer Olympics,1964,Summer,Tokyo,Wrestling,"Bantamweight, Freestyle, Men",,57059
Mohammad Ebrahimi,M,11 April 1938 in Kabul (AFG),160,63,Afghanistan,AFG,1964 Summer Olympics,1964,Summer,Tokyo,Wrestling,"Featherweight, Freestyle, Men",,57056
Mohammad Ebrahimi,M,11 April 1938 in Kabul (AFG),160,63,Afghanistan,AFG,1968 Summer Olympics,1968,Summer,Ciudad de México,Wrestling,"Featherweight, Freestyle, Men",,57056
Mohammad Ebrahimi,M,11 April 1938 in Kabul (AFG),160,63,Afghanistan,AFG,1972 Summer Olympics,1972,Summer,München,Wrestling,"Featherweight, Greco-Roman, Men",,57056
Djan-Aka Djan,M,1942,,68,Afghanistan,AFG,1964 Summer Olympics,1964,Summer,Tokyo,Wrestling,"Lightweight, Freestyle, Men",,57067
Djan-Aka Djan,M,1942,,68,Afghanistan,AFG,1972 Summer Olympics,1972,Summer,München,Wrestling,"Lightweight, Greco-Roman, Men",,57067
Shakar Khan Shakar,M,3 September 1940,,74,Afghanistan,AFG,1964 Summer Olympics,1964,Summer,Tokyo,Wrestling,"Welterweight, Freestyle, Men",,57083
Shakar Khan Shakar,M,3 September 1940,,74,Afghanistan,AFG,1972 Summer Olympics,1972,Summer,München,Wrestling,"Welterweight, Freestyle, Men",,57083
Ahmad Djan,M,10 February 1948 in Kabul (AFG),165,52,Afghanistan,AFG,1968 Summer Olympics,1968,Summer,Ciudad de México,Wrestling,"Bantamweight, Freestyle, Men",,57066
Ahmad Djan,M,10 February 1948 in Kabul (AFG),165,52,Afghanistan,AFG,1972 Summer Olympics,1972,Summer,München,Wrestling,"Featherweight, Freestyle, Men",,57066
Aka-Jahan Dastagir,M,5 June 1946 in Kabul (AFG),170,70,Afghanistan,AFG,1968 Summer Olympics,1968,Summer,Ciudad de México,Wrestling,"Lightweight, Freestyle, Men",,57064
Kayum Ayub,M,21 June 1947 in Kabul (AFG),176,78,Afghanistan,AFG,1968 Summer Olympics,1968,Summer,Ciudad de México,Wrestling,"Welterweight, Freestyle, Men",,57062
Ghulam Dastagir,M,24 July 1945 in Kabul (AFG),180,87,Afghanistan,AFG,1968 Summer Olympics,1968,Summer,Ciudad de México,Wrestling,"Middleweight, Freestyle, Men",,57065
Ghulam Dastagir,M,24 July 1945 in Kabul (AFG),180,87,Afghanistan,AFG,1972 Summer Olympics,1972,Summer,München,Wrestling,"Middleweight, Freestyle, Men",,57065
Alam Mir,M,1944,,57,Afghanistan,AFG,1972 Summer Olympics,1972,Summer,München,Wrestling,"Bantamweight, Greco-Roman, Men",,57077
Mohammad Arref,M,1950,,52,Afghanistan,AFG,1972 Summer Olympics,1972,Summer,München,Wrestling,"Flyweight, Freestyle, Men",,57060
Ghulam Sideer,M,1943,,57,Afghanistan,AFG,1972 Summer Olympics,1972,Summer,München,Wrestling,"Bantamweight, Freestyle, Men",,57086
Ahmad Nesar,M,7 December 1958,164,51,Afghanistan,AFG,1980 Summer Olympics,1980,Summer,Moskva,Boxing,"Bantamweight, Men",,7420
Esmail Mohammad,M,4 September 1960,160,54,Afghanistan,AFG,1980 Summer Olympics,1980,Summer,Moskva,Boxing,"Featherweight, Men",,7419
Rabani Ghulam,M,8 October 1951,178,57,Afghanistan,AFG,1980 Summer Olympics,1980,Summer,Moskva,Boxing,"Lightweight, Men",,7421
Ghulam Sanay,M,5 May 1957,170,62,Afghanistan,AFG,1980 Summer Olympics,1980,Summer,Moskva,Wrestling,"Featherweight, Greco-Roman, Men",,57081
Sakhidad Hamidi,M,10 October 1952,170,68,Afghanistan,AFG,1980 Summer Olympics,1980,Summer,Moskva,Wrestling,"Lightweight, Greco-Roman, Men",,57071
Mohammad Aktar,M,2 August 1962,156,48,Afghanistan,AFG,1980 Summer Olympics,1980,Summer,Moskva,Wrestling,"Light-Flyweight, Freestyle, Men",,57058
Mohammad Aynutdin,M,15 April 1955,160,52,Afghanistan,AFG,1980 Summer Olympics,1980,Summer,Moskva,Wrestling,"Flyweight, Freestyle, Men",,57061
Mohammad Halilula,M,14 February 1952,163,57,Afghanistan,AFG,1980 Summer Olympics,1980,Summer,Moskva,Wrestling,"Bantamweight, Freestyle, Men",,57070
Khojawahid Zahedi,M,5 June 1960,178,74,Afghanistan,AFG,1980 Summer Olympics,1980,Summer,Moskva,Wrestling,"Welterweight, Freestyle, Men",,57089
Ahmadjan Khasan,M,2 June 1957,178,82,Afghanistan,AFG,1980 Summer Olympics,1980,Summer,Moskva,Wrestling,"Middleweight, Freestyle, Men",,57075
Ibrahim Shudzandin,M,27 August 1950,175,90,Afghanistan,AFG,1980 Summer Olympics,1980,Summer,Moskva,Wrestling,"Light-Heavyweight, Freestyle, Men",,57085
Mohammad Razigul,M,1942,,,Afghanistan,AFG,1988 Summer Olympics,1988,Summer,Seoul,Wrestling,"Light-Flyweight, Freestyle, Men",,57080
Ahmad Nasir,M,1963,,,Afghanistan,AFG,1988 Summer Olympics,1988,Summer,Seoul,Wrestling,"Flyweight, Freestyle, Men",,57078
Ali Dad,M,1964,,,Afghanistan,AFG,1988 Summer Olympics,1988,Summer,Seoul,Wrestling,"Featherweight, Freestyle, Men",,57063
Mohammad Shir,M,1942,,,Afghanistan,AFG,1988 Summer Olympics,1988,Summer,Seoul,Wrestling,"Lightweight, Freestyle, Men",,57084
Mohammad Taj,M,1942,,,Afghanistan,AFG,1988 Summer Olympics,1988,Summer,Seoul,Wrestling,"Light-Heavyweight, Freestyle, Men",,57088
Abdul Ghafoor,M,5 March 1970,,,Afghanistan,AFG,1996 Summer Olympics,1996,Summer,Atlanta,Athletics,"100 metres, Men",,64258
Abdul Baser Wasiqi,M,12 July 1975,,,Afghanistan,AFG,1996 Summer Olympics,1996,Summer,Atlanta,Athletics,"Marathon, Men",,64264
Masoud Azizi,M,"2 February 1985 in ?, Panjshir (AFG)",168,64,Afghanistan,AFG,2004 Summer Olympics,2004,Summer,Athina,Athletics,"100 metres, Men",,105471
Masoud Azizi,M,"2 February 1985 in ?, Panjshir (AFG)",168,64,Afghanistan,AFG,2008 Summer Olympics,2008,Summer,Beijing,Athletics,"100 metres, Men",,105471
Masoud Azizi,M,"2 February 1985 in ?, Panjshir (AFG)",168,64,Afghanistan,AFG,2012 Summer Olympics,2012,Summer,London,Athletics,"100 metres, Men",,105471
Robina Muqim Yaar,F,3 July 1986 in Kabul (AFG),180,56,Afghanistan,AFG,2004 Summer Olympics,2004,Summer,Athina,Athletics,"100 metres, Women",,104914
Robina Muqim Yaar,F,3 July 1986 in Kabul (AFG),180,56,Afghanistan,AFG,2008 Summer Olympics,2008,Summer,Beijing,Athletics,"100 metres, Women",,104914
Basharmal Sultani,M,28 January 1985,170,69,Afghanistan,AFG,2004 Summer Olympics,2004,Summer,Athina,Boxing,"Welterweight, Men",,106284
Friba Razayee,F,3 September 1985 in Kabul (AFG),165,70,Afghanistan,AFG,2004 Summer Olympics,2004,Summer,Athina,Judo,"Middleweight, Women",,106431
Bashir Ahmad Rahmati,M,5 June 1985,,,Afghanistan,AFG,2004 Summer Olympics,2004,Summer,Athina,Wrestling,"Featherweight, Freestyle, Men",,108114
Rohullah Nikpai,M,15 June 1987 in Kabul (AFG),183,"58, 68",Afghanistan,AFG,2008 Summer Olympics,2008,Summer,Beijing,Taekwondo,"Flyweight, Men",Bronze,117410
Rohullah Nikpai,M,15 June 1987 in Kabul (AFG),183,"58, 68",Afghanistan,AFG,2012 Summer Olympics,2012,Summer,London,Taekwondo,"Featherweight, Men",Bronze,117410
Nesar Ahmad Bahawi,M,"27 March 1984 in ?, Kapisa (AFG)",186,68,Afghanistan,AFG,2008 Summer Olympics,2008,Summer,Beijing,Taekwondo,"Featherweight, Men",,117423
Nesar Ahmad Bahawi,M,"27 March 1984 in ?, Kapisa (AFG)",186,68,Afghanistan,AFG,2012 Summer Olympics,2012,Summer,London,Taekwondo,"Welterweight, Men",,117423
Tahmina Kohistani,F,"18 June 1989 in ?, Kapisa (AFG)",160,52,Afghanistan,AFG,2012 Summer Olympics,2012,Summer,London,Athletics,"100 metres, Women",,121905
Ajmal Faisal,M,14 August 1990 in Kabul (AFG),160,52,Afghanistan,AFG,2012 Summer Olympics,2012,Summer,London,Boxing,"Flyweight, Men",,121972
Ajmal Faizzada,M,20 May 1987 in Kabul (AFG),173,66,Afghanistan,AFG,2012 Summer Olympics,2012,Summer,London,Judo,"Half-Lightweight, Men",,123286
Abdul Wahab Zahiri,M,"27 May 1992 in ?, Nangarhar (AFG)",175,68,Afghanistan,AFG,2016 Summer Olympics,2016,Summer,Rio de Janeiro,Athletics,"100 metres, Men",,132265
Kamia Yousufi,F,20 May 1996 in Kandahar (AFG),165,55,Afghanistan,AFG,2016 Summer Olympics,2016,Summer,Rio de Janeiro,Athletics,"100 metres, Women",,128850
Kamia Yousufi,F,20 May 1996 in Kandahar (AFG),165,55,Afghanistan,AFG,2020 Summer Olympics,2020,Summer,Tokyo,Athletics,"100 metres, Women",,128850
Mohammad Tawfiq Bakhshi,M,11 March 1986,181,99,Afghanistan,AFG,2016 Summer Olympics,2016,Summer,Rio de Janeiro,Judo,"Half-Heavyweight, Men",,132266
Sha Mahmood Noor Zahi,M,21 March 1991,,,Afghanistan,AFG,2020 Summer Olympics,2020,Summer,Tokyo,Athletics,"100 metres, Men",,140400
Mahdi Yovari,M,9 June 1997,172,,Afghanistan,AFG,2020 Summer Olympics,2020,Summer,Tokyo,Shooting,"Air Rifle, 10 metres, Men",,140401
Fahim Anwari,M,5 May 1999,,,Afghanistan,AFG,2020 Summer Olympics,2020,Summer,Tokyo,Swimming,"50 metres Freestyle, Men",,140402
Farzad Mansouri,M,19 March 2002,,,Afghanistan,AFG,2020 Summer Olympics,2020,Summer,Tokyo,Taekwondo,"Heavyweight, Men",,140403
Fatos Pilkati,M,15 March 1951,,,Albania,ALB,1972 Summer Olympics,1972,Summer,München,Shooting,"Free Pistol, 50 metres, Open",,41057
Afërdita Tusha,F,4 September 1945 in Tirana (ALB),,,Albania,ALB,1972 Summer Olympics,1972,Summer,München,Shooting,"Free Pistol, 50 metres, Open",,41060
Ismail Rama,M,3 November 1935,,,Albania,ALB,1972 Summer Olympics,1972,Summer,München,Shooting,"Small-Bore Rifle, Prone, 50 metres, Open",,41058
Beqir Kosova,M,20 May 1949,,,Albania,ALB,1972 Summer Olympics,1972,Summer,München,Shooting,"Small-Bore Rifle, Prone, 50 metres, Open",,41056
Ymer Pampuri,M,30 April 1944 in Tirana (ALB),,59,Albania,ALB,1972 Summer Olympics,1972,Summer,München,Weightlifting,"Featherweight, Men",,55081
Alma Qeramixhi,F,14 November 1963 in Korçë (ALB),,,Albania,ALB,1992 Summer Olympics,1992,Summer,Barcelona,Athletics,"Heptathlon, Women",,64276
Kristo Robo,M,7 December 1948,,,Albania,ALB,1992 Summer Olympics,1992,Summer,Barcelona,Shooting,"Rapid-Fire Pistol, 25 metres, Men",,41059
Enkelejda Shehu,F,23 January 1969 in Tirana (ALB),163,57,Albania  United States,ALB,1992 Summer Olympics,1992,Summer,Barcelona,Shooting,"Sporting Pistol, 25 metres, Women",,41055
Enkelejda Shehu,F,23 January 1969 in Tirana (ALB),163,57,Albania  United States,ALB,1996 Summer Olympics,1996,Summer,Atlanta,Shooting,"Air Pistol, 10 metres, Women",,41055
Enkelejda Shehu,F,23 January 1969 in Tirana (ALB),163,57,Albania  United States,ALB,1996 Summer Olympics,1996,Summer,Atlanta,Shooting,"Sporting Pistol, 25 metres, Women",,41055
Enkelejda Shehu,F,23 January 1969 in Tirana (ALB),163,57,Albania  United States,ALB,2016 Summer Olympics,2016,Summer,Rio de Janeiro,Shooting,"Air Pistol, 10 metres, Women",,41055
Enkelejda Shehu,F,23 January 1969 in Tirana (ALB),163,57,Albania  United States,ALB,2016 Summer Olympics,2016,Summer,Rio de Janeiro,Shooting,"Sporting Pistol, 25 metres, Women",,41055
Frank Leskaj,M,"16 April 1971 in Philadelphia, Pennsylvania (USA)",,,Albania,ALB,1992 Summer Olympics,1992,Summer,Barcelona,Swimming,"50 metres Freestyle, Men",,44898
Frank Leskaj,M,"16 April 1971 in Philadelphia, Pennsylvania (USA)",,,Albania,ALB,1992 Summer Olympics,1992,Summer,Barcelona,Swimming,"100 metres Freestyle, Men",,44898
Frank Leskaj,M,"16 April 1971 in Philadelphia, Pennsylvania (USA)",,,Albania,ALB,1992 Summer Olympics,1992,Summer,Barcelona,Swimming,"100 metres Breaststroke, Men",,44898
Fatmir Bushi,M,27 December 1963 in Tirana (ALB),,67,Albania,ALB,1992 Summer Olympics,1992,Summer,Barcelona,Weightlifting,"Lightweight, Men",,55079
Sokol Bishanaku,M,2 June 1971 in Shkodër (ALB),,67,Albania,ALB,1992 Summer Olympics,1992,Summer,Barcelona,Weightlifting,"Lightweight, Men",,55078
Dedë Dekaj,M,20 February 1970,,110,Albania,ALB,1992 Summer Olympics,1992,Summer,Barcelona,Weightlifting,"Heavyweight II, Men",,55080
Vera Bitanji,F,21 April 1969 in Grudë e Re (ALB),178,67,Albania,ALB,1996 Summer Olympics,1996,Summer,Atlanta,Athletics,"Triple Jump, Women",,64273
Mirela Maniani-Tzelili,F,21 December 1976 in Durrës (ALB),165,64,Albania  Greece,ALB,1996 Summer Olympics,1996,Summer,Atlanta,Athletics,"Javelin Throw, Women",,64275
Mirela Maniani-Tzelili,F,21 December 1976 in Durrës (ALB),165,64,Albania  Greece,ALB,2000 Summer Olympics,2000,Summer,Sydney,Athletics,"Javelin Throw, Women",Silver,64275
Mirela Maniani-Tzelili,F,21 December 1976 in Durrës (ALB),165,64,Albania  Greece,ALB,2004 Summer Olympics,2004,Summer,Athina,Athletics,"Javelin Throw, Women",Bronze,64275
Besnik Musaj,M,29 December 1973 in Tirana (ALB),183,82,Albania,ALB,1996 Summer Olympics,1996,Summer,Atlanta,Cycling Road,"Road Race, Individual, Men",,15791
Djana Mata,F,13 August 1960,159,52,Albania,ALB,1996 Summer Olympics,1996,Summer,Atlanta,Shooting,"Air Pistol, 10 metres, Women",,41054
Djana Mata,F,13 August 1960,159,52,Albania,ALB,1996 Summer Olympics,1996,Summer,Atlanta,Shooting,"Sporting Pistol, 25 metres, Women",,41054
Djana Mata,F,13 August 1960,159,52,Albania,ALB,2000 Summer Olympics,2000,Summer,Sydney,Shooting,"Air Pistol, 10 metres, Women",,41054
Djana Mata,F,13 August 1960,159,52,Albania,ALB,2000 Summer Olympics,2000,Summer,Sydney,Shooting,"Sporting Pistol, 25 metres, Women",,41054
Ilirian Suli,M,11 October 1975,171,76-77,Albania,ALB,1996 Summer Olympics,1996,Summer,Atlanta,Weightlifting,"Middleweight, Men",,55082
Ilirian Suli,M,11 October 1975,171,76-77,Albania,ALB,2000 Summer Olympics,2000,Summer,Sydney,Weightlifting,"Middleweight, Men",,55082
Shkëlqim Troplini,M,1 October 1966 in Durrës (ALB),180,100,Albania,ALB,1996 Summer Olympics,1996,Summer,Atlanta,Wrestling,"Heavyweight, Freestyle, Men",,57091
Oltion Luli,M,18 August 1969 in Shkodër (ALB),182,82,Albania,ALB,2000 Summer Olympics,2000,Summer,Sydney,Athletics,"100 metres, Men",,83209
Klodiana Shala,F,22 August 1979 in Tirana (ALB),168,52,Albania,ALB,2000 Summer Olympics,2000,Summer,Sydney,Athletics,"400 metres, Women",,83210
Klodiana Shala,F,22 August 1979 in Tirana (ALB),168,52,Albania,ALB,2004 Summer Olympics,2004,Summer,Athina,Athletics,"400 metres Hurdles, Women",,83210
Klodiana Shala,F,22 August 1979 in Tirana (ALB),168,52,Albania,ALB,2008 Summer Olympics,2008,Summer,Beijing,Athletics,"400 metres, Women",,83210
Dorian Çollaku,M,2 June 1977 in Tirana (ALB),183,96,Albania,ALB,2004 Summer Olympics,2004,Summer,Athina,Athletics,"Hammer Throw, Men",,105567
Dorian Çollaku,M,2 June 1977 in Tirana (ALB),183,96,Albania,ALB,2008 Summer Olympics,2008,Summer,Beijing,Athletics,"Hammer Throw, Men",,105567
Kreshnik Gjata,M,23 June 1983 in Pogradec (ALB),175,75,Albania,ALB,2004 Summer Olympics,2004,Summer,Athina,Swimming,"50 metres Freestyle, Men",,103871
Rovena Marku,F,21 May 1987 in Shkodër (ALB),174,61,Albania,ALB,2004 Summer Olympics,2004,Summer,Athina,Swimming,"50 metres Freestyle, Women",,104125
Rovena Marku,F,21 May 1987 in Shkodër (ALB),174,61,Albania,ALB,2008 Summer Olympics,2008,Summer,Beijing,Swimming,"50 metres Freestyle, Women",,104125
Gert Trasha,M,31 January 1988 in Elbasan (ALB),165,69,Albania,ALB,2004 Summer Olympics,2004,Summer,Athina,Weightlifting,"Featherweight, Men",,103562
Gert Trasha,M,31 January 1988 in Elbasan (ALB),165,69,Albania,ALB,2008 Summer Olympics,2008,Summer,Beijing,Weightlifting,"Lightweight, Men",,103562
Theoharis Trasha,M,21 April 1985 in Elbasan (ALB),175,77,Albania,ALB,2004 Summer Olympics,2004,Summer,Athina,Weightlifting,"Middleweight, Men",,104570
Sahit Prizreni,M,23 February 1982 in Kukës (ALB),166,65,Albania  Australia,ALB,2004 Summer Olympics,2004,Summer,Athina,Wrestling,"Lightweight, Freestyle, Men",,108054
Sahit Prizreni,M,23 February 1982 in Kukës (ALB),166,65,Albania  Australia,ALB,2008 Summer Olympics,2008,Summer,Beijing,Wrestling,"Lightweight, Freestyle, Men",,108054
Sahit Prizreni,M,23 February 1982 in Kukës (ALB),166,65,Albania  Australia,ALB,2016 Summer Olympics,2016,Summer,Rio de Janeiro,Wrestling,"Welterweight, Freestyle, Men",,108054
Erjon Tola,M,15 December 1986 in Tirana (ALB),180,74,Albania,ALB,2006 Winter Olympics,2006,Winter,Torino,Alpine Skiing,"Super G, Men",,110734
Erjon Tola,M,15 December 1986 in Tirana (ALB),180,74,Albania,ALB,2006 Winter Olympics,2006,Winter,Torino,Alpine Skiing,"Giant Slalom, Men",,110734
Erjon Tola,M,15 December 1986 in Tirana (ALB),180,74,Albania,ALB,2006 Winter Olympics,2006,Winter,Torino,Alpine Skiing,"Slalom, Men",,110734
Erjon Tola,M,15 December 1986 in Tirana (ALB),180,74,Albania,ALB,2010 Winter Olympics,2010,Winter,Vancouver,Alpine Skiing,"Giant Slalom, Men",,110734
Erjon Tola,M,15 December 1986 in Tirana (ALB),180,74,Albania,ALB,2010 Winter Olympics,2010,Winter,Vancouver,Alpine Skiing,"Slalom, Men",,110734
Erjon Tola,M,15 December 1986 in Tirana (ALB),180,74,Albania,ALB,2014 Winter Olympics,2014,Winter,Sochi,Alpine Skiing,"Giant Slalom, Men",,110734
Erjon Tola,M,15 December 1986 in Tirana (ALB),180,74,Albania,ALB,2014 Winter Olympics,2014,Winter,Sochi,Alpine Skiing,"Slalom, Men",,110734
Erjon Tola,M,15 December 1986 in Tirana (ALB),180,74,Albania,ALB,2018 Winter Olympics,2018,Winter,PyeongChang,Alpine Skiing,"Giant Slalom, Men",,110734
Erjon Tola,M,15 December 1986 in Tirana (ALB),180,74,Albania,ALB,2018 Winter Olympics,2018,Winter,PyeongChang,Alpine Skiing,"Slalom, Men",,110734
Edmond Topalli,M,22 January 1980 in Shkodër (ALB),175,81,Albania,ALB,2008 Summer Olympics,2008,Summer,Beijing,Judo,"Half-Middleweight, Men",,112676
Lindita Kodra,F,11 May 1962 in Kukës (ALB),170,76,Albania,ALB,2008 Summer Olympics,2008,Summer,Beijing,Shooting,"Air Pistol, 10 metres, Women",,117245
Lindita Kodra,F,11 May 1962 in Kukës (ALB),170,76,Albania,ALB,2008 Summer Olympics,2008,Summer,Beijing,Shooting,"Sporting Pistol, 25 metres, Women",,117245
Sidni Hoxha,M,6 January 1992 in Shkodër (ALB),193,86,Albania,ALB,2008 Summer Olympics,2008,Summer,Beijing,Swimming,"50 metres Freestyle, Men",,115859
Sidni Hoxha,M,6 January 1992 in Shkodër (ALB),193,86,Albania,ALB,2012 Summer Olympics,2012,Summer,London,Swimming,"100 metres Freestyle, Men",,115859
Sidni Hoxha,M,6 January 1992 in Shkodër (ALB),193,86,Albania,ALB,2016 Summer Olympics,2016,Summer,Rio de Janeiro,Swimming,"50 metres Freestyle, Men",,115859
Erkand Qerimaj,M,10 August 1988 in Shkodër (ALB),165,77,Albania,ALB,2008 Summer Olympics,2008,Summer,Beijing,Weightlifting,"Middleweight, Men",,116361
Erkand Qerimaj,M,10 August 1988 in Shkodër (ALB),165,77,Albania,ALB,2020 Summer Olympics,2020,Summer,Tokyo,Weightlifting,"Light-Heavyweight, Men",,116361
Romela Begaj,F,2 November 1986 in Tirana (ALB),163,58,Albania,ALB,2008 Summer Olympics,2008,Summer,Beijing,Weightlifting,"Lightweight, Women",,116259
Romela Begaj,F,2 November 1986 in Tirana (ALB),163,58,Albania,ALB,2012 Summer Olympics,2012,Summer,London,Weightlifting,"Lightweight, Women",,116259
Elis Guri,M,6 July 1983 in Shkodër (ALB),189,100,Albania  Bulgaria,ALB,2008 Summer Olympics,2008,Summer,Beijing,Wrestling,"Heavyweight, Greco-Roman, Men",,117204
Elis Guri,M,6 July 1983 in Shkodër (ALB),189,100,Albania  Bulgaria,ALB,2012 Summer Olympics,2012,Summer,London,Wrestling,"Heavyweight, Greco-Roman, Men",,117204
Elis Guri,M,6 July 1983 in Shkodër (ALB),189,100,Albania  Bulgaria,ALB,2016 Summer Olympics,2016,Summer,Rio de Janeiro,Wrestling,"Heavyweight, Greco-Roman, Men",,117204
Adriatik Hoxha,M,9 March 1990 in Kolonjë (ALB),194,130,Albania,ALB,2012 Summer Olympics,2012,Summer,London,Athletics,"Shot Put, Men",,121526
Majlinda Kelmendi,F,9 May 1991 in Peć (KOS),162,52,Albania  Kosovo,ALB,2012 Summer Olympics,2012,Summer,London,Judo,"Half-Lightweight, Women",,121974
Majlinda Kelmendi,F,9 May 1991 in Peć (KOS),162,52,Albania  Kosovo,ALB,2016 Summer Olympics,2016,Summer,Rio de Janeiro,Judo,"Half-Lightweight, Women",Gold,121974
Majlinda Kelmendi,F,9 May 1991 in Peć (KOS),162,52,Albania  Kosovo,ALB,2020 Summer Olympics,2020,Summer,Tokyo,Judo,"Half-Lightweight, Women",,121974
Arben Kucana,M,18 September 1967 in Tirana (ALB),184,95,Albania,ALB,2012 Summer Olympics,2012,Summer,London,Shooting,"Air Pistol, 10 metres, Men",,122456
Arben Kucana,M,18 September 1967 in Tirana (ALB),184,95,Albania,ALB,2012 Summer Olympics,2012,Summer,London,Shooting,"Free Pistol, 50 metres, Men",,122456
Noel Borshi,F,"13 February 1996 in Roma, Roma (ITA)",164,54,Albania,ALB,2012 Summer Olympics,2012,Summer,London,Swimming,"100 metres Butterfly, Women",,121539
